,type,product,date,description,amount,balance
339,Card Payment,Current,2024-12-10 18:21:57,Leroy Merlin,-19.9,16.56
340,Card Payment,Current,2024-12-10 07:53:42,Metrorex,-3.0,13.56
341,Card Payment,Current,2024-12-10 13:52:50,Metrorex,-3.0,10.56
342,Transfer,Current,2024-12-13 08:18:04,Revolut Bank UAB,30.0,40.56
343,Card Payment,Current,2024-12-13 08:20:50,Mega Image,-29.09,11.47
344,Topup,Current,2024-12-21 21:10:09,Apple Pay top-up by *1781,160.0,171.47
345,Transfer,Current,2024-12-21 21:10:26,Revolut Bank UAB,-160.0,11.47
346,Topup,Current,2024-12-27 17:47:32,Apple Pay top-up by *1781,160.0,171.47
347,Transfer,Current,2024-12-27 17:47:49,Revolut Bank UAB,-160.0,11.47
348,Transfer,Current,2024-12-29 13:25:27,Revolut Bank UAB,-5.0,6.47
349,Topup,Current,2024-12-29 22:10:38,Apple Pay top-up by *1781,160.0,166.47
350,Transfer,Current,2024-12-29 22:10:55,Revolut Bank UAB,-160.0,6.47
351,Transfer,Current,2024-12-30 15:41:53,Revolut Bank UAB,5.0,11.47
352,Card Payment,Current,2024-12-27 17:40:36,Amparcat.ro,-1.2,10.27
353,Transfer,Current,2024-12-30 18:10:56,Revolut Bank UAB,145.0,155.27
354,Card Payment,Current,2024-12-27 17:57:47,Metrorex,-3.0,152.27
355,Transfer,Current,2025-01-01 13:41:01,Revolut Bank UAB Vilnius Sucursala București,-145.0,7.27
356,Transfer,Current,2025-01-02 15:20:23,Revolut Bank UAB,200.0,207.27
357,Transfer,Current,2025-01-02 15:33:39,To Razvan Mihai Pica,-200.0,7.27
358,Topup,Current,2025-01-02 21:01:25,Apple Pay top-up by *1781,200.0,207.27
359,Transfer,Current,2025-01-02 21:02:39,Revolut Bank UAB,-200.0,7.27
360,Topup,Current,2025-01-04 01:29:54,Apple Pay top-up by *1781,160.0,167.27
361,Transfer,Current,2025-01-04 01:30:10,Revolut Bank UAB,-160.0,7.27
362,Topup,Current,2025-01-04 18:36:43,Apple Pay top-up by *1781,160.0,167.27
363,Transfer,Current,2025-01-04 18:36:56,Revolut Bank UAB,-160.0,7.27
364,Transfer,Current,2025-01-08 10:36:10,Revolut Bank UAB,6.0,13.27
365,Transfer,Current,2025-01-10 19:29:26,Revolut Bank UAB Vilnius Sucursala București,-10.0,3.27
366,Topup,Current,2025-01-11 20:57:20,Apple Pay top-up by *1781,160.0,163.27
367,Transfer,Current,2025-01-11 20:57:39,Revolut Bank UAB,-160.0,3.27
368,Topup,Current,2025-01-12 17:02:27,Apple Pay top-up by *1781,160.0,163.27
369,Transfer,Current,2025-01-12 17:02:43,Revolut Bank UAB,-160.0,3.27
370,Transfer,Current,2025-01-14 18:14:39,Revolut Bank UAB,1.0,4.27
371,Transfer,Current,2025-01-14 18:14:45,Revolut Bank UAB,16.0,20.27
372,Card Payment,Current,2025-01-15 18:40:28,Lidl,-2.29,17.98
373,Topup,Current,2025-01-18 22:00:09,Apple Pay top-up by *1781,160.0,177.98
374,Transfer,Current,2025-01-18 22:00:24,Revolut Bank UAB,-160.0,17.98
375,Topup,Current,2025-01-19 17:18:33,Apple Pay top-up by *1781,200.0,217.98
376,Transfer,Current,2025-01-19 17:19:17,Revolut Bank UAB,-200.0,17.98
377,Card Payment,Current,2025-01-20 08:29:49,Mega Image,-3.99,13.99
378,Topup,Current,2025-01-21 13:37:29,Apple Pay top-up by *1781,70.0,83.99
379,Transfer,Current,2025-01-21 13:38:04,Revolut Bank UAB,-70.0,13.99
380,Topup,Current,2025-01-24 22:40:26,Apple Pay top-up by *1781,160.0,173.99
381,Transfer,Current,2025-01-24 22:41:02,Revolut Bank UAB,-160.0,13.99
382,Topup,Current,2025-01-27 16:14:32,Apple Pay top-up by *1781,160.0,173.99
383,Transfer,Current,2025-01-27 16:14:48,Revolut Bank UAB,-160.0,13.99
384,Topup,Current,2025-01-27 22:14:16,Apple Pay top-up by *1781,65.0,78.99
385,Transfer,Current,2025-01-27 22:16:20,To David Adrian Grosu,-65.0,13.99
386,Topup,Current,2025-02-01 13:46:25,Apple Pay top-up by *1781,160.0,173.99
387,Transfer,Current,2025-02-01 13:46:52,Revolut Bank UAB,-160.0,13.99
388,Card Payment,Current,2025-02-01 15:50:21,Simigeria Matei,-5.0,8.99
389,Card Payment,Current,2025-02-01 15:54:48,Mega Image,-7.19,1.8
390,Card Payment,Current,2025-02-02 17:19:04,Amparcat.ro,-1.2,0.6
391,Transfer,Current,2025-02-05 23:24:00,Revolut Bank UAB,56.06,56.66
392,Transfer,Current,2025-02-06 09:46:31,Revolut Bank UAB,4.0,60.66
393,Topup,Current,2025-02-08 20:47:19,Apple Pay top-up by *1781,160.0,220.66
394,Transfer,Current,2025-02-08 20:47:35,Revolut Bank UAB,-160.0,60.66
395,Topup,Current,2025-02-10 14:55:52,Apple Pay top-up by *1781,160.0,220.66
396,Transfer,Current,2025-02-10 14:56:12,Revolut Bank UAB,-160.0,60.66
397,Topup,Current,2025-02-11 14:02:21,Apple Pay top-up by *1781,410.0,470.66
398,Card Payment,Current,2025-02-11 14:03:41,AliExpress,-451.51,19.15
399,Rev Payment,Current,2025-02-15 12:04:49,amparcat.ro*Otopeni,-1.2,17.95
400,Topup,Current,2025-02-15 13:32:32,Apple Pay top-up by *1781,160.0,177.95
401,Transfer,Current,2025-02-15 13:32:49,Revolut Bank UAB,-160.0,17.95
402,Transfer,Current,2025-02-18 12:44:35,Revolut Bank UAB,140.0,157.95
403,Topup,Current,2025-02-18 12:45:09,Apple Pay top-up by *1781,140.0,297.95
404,Transfer,Current,2025-02-19 21:52:31,Revolut Bank UAB,400.0,697.95
405,Card Payment,Current,2025-02-19 15:25:10,Kenos Life,-270.0,427.95
406,Transfer,Current,2025-02-21 20:28:51,Revolut Bank UAB,150.0,577.95
407,Card Payment,Current,2025-02-21 08:39:57,Carrefour,-12.07,565.88
408,Transfer,Current,2025-02-22 14:01:07,Revolut Bank UAB,-160.0,405.88
409,Transfer,Current,2025-02-22 20:16:34,Revolut Bank UAB,-8.0,397.88
410,Card Payment,Current,2025-02-22 17:33:07,Carrefour,-22.99,374.89
411,Card Payment,Current,2025-02-22 18:36:23,Casa Natural Prod,-15.0,359.89
412,Card Payment,Current,2025-02-22 19:37:54,Casa Natural Prod,-19.0,340.89
413,Card Payment,Current,2025-02-23 17:36:45,Mega Image,-23.0,317.89
414,Card Payment,Current,2025-02-23 17:02:56,Free Spirit,-7.0,310.89
415,Card Payment,Current,2025-02-23 18:44:19,dm drogerie,-25.95,284.94
416,Card Payment,Current,2025-02-24 09:28:51,Mega Image,-7.37,277.57
417,Card Payment,Current,2025-02-24 18:39:07,Mega Image,-23.0,254.57
418,Card Payment,Current,2025-02-24 11:58:44,Cora,-2.99,251.58
419,Transfer,Current,2025-02-25 13:57:08,Revolut Bank UAB,-160.0,91.58
420,Card Payment,Current,2025-02-24 11:49:48,Multimat Mihalache,-8.5,83.08
421,Card Payment,Current,2025-02-25 11:34:42,Multimat Impex,-10.0,73.08
422,Card Payment,Current,2025-02-25 11:36:19,Multimat Impex,-3.5,69.58
423,Card Payment,Current,2025-02-24 07:53:59,Metrorex,-5.0,64.58
424,Card Payment,Current,2025-02-27 09:17:36,Profi,-23.0,41.58
425,Card Payment,Current,2025-02-28 10:36:03,Froo,-4.99,36.59
426,Card Payment,Current,2025-02-28 11:17:25,Mega Image,-3.49,33.1
427,Card Payment,Current,2025-02-28 14:58:35,Mega Image,-11.47,21.63
428,Card Payment,Current,2025-02-28 08:19:42,Cora,-5.5,16.13
429,Card Payment,Current,2025-03-01 18:55:03,Amparcat.ro,-6.0,10.13
430,Transfer,Current,2025-03-07 21:10:54,Revolut Bank UAB Vilnius Sucursala București,30.0,40.13
431,Card Payment,Current,2025-03-08 19:00:26,Froo,-4.99,35.14
432,Card Payment,Current,2025-03-08 13:16:18,Mega Image,-4.69,30.45
433,Topup,Current,2025-03-09 11:22:30,Apple Pay top-up by *1781,160.0,190.45
434,Transfer,Current,2025-03-09 11:22:49,Revolut Bank UAB,-160.0,30.45
435,Card Payment,Current,2025-03-08 19:37:19,Profi,-17.97,12.48
436,Card Payment,Current,2025-03-10 11:11:20,Mega Image,-3.89,8.59
437,Topup,Current,2025-03-14 10:10:50,Apple Pay top-up by *1781,160.0,168.59
438,Transfer,Current,2025-03-14 10:11:07,Revolut Bank UAB Vilnius Sucursala București,-160.0,8.59
439,Card Payment,Current,2025-03-15 09:26:57,Eur Comtur,-4.5,4.09
440,Topup,Current,2025-03-22 12:10:55,Apple Pay top-up by *1781,160.0,164.09
441,Transfer,Current,2025-03-22 12:11:14,Revolut Bank UAB Vilnius Sucursala București,-160.0,4.09
442,Topup,Current,2025-03-28 13:37:17,Apple Pay top-up by *1781,160.0,164.09
443,Transfer,Current,2025-03-28 13:37:33,Revolut Bank UAB Vilnius Sucursala București,-160.0,4.09
444,Topup,Current,2025-04-02 10:59:14,Apple Pay top-up by *1781,160.0,164.09
445,Transfer,Current,2025-04-02 10:59:31,Revolut Bank UAB Vilnius Sucursala București,-160.0,4.09
446,Topup,Current,2025-04-04 14:04:44,Apple Pay top-up by *1781,184.0,188.09
447,Transfer,Current,2025-04-04 14:05:37,Revolut Bank UAB Vilnius Sucursala București,-24.0,164.09
448,Transfer,Current,2025-04-04 14:22:49,Revolut Bank UAB Vilnius Sucursala București,-160.0,4.09
449,Transfer,Current,2025-04-10 12:51:26,Revolut Bank UAB Vilnius Sucursala București,-4.09,0.0
450,Transfer,Current,2025-04-17 19:03:07,Revolut Bank UAB Vilnius Sucursala București,300.0,300.0
451,Topup,Current,2025-04-18 12:44:31,Apple Pay top-up by *1781,160.0,460.0
452,Transfer,Current,2025-04-18 12:44:52,Revolut Bank UAB Vilnius Sucursala București,-160.0,300.0
453,Card Payment,Current,2025-04-18 13:38:51,Bershka,-140.3,159.7
454,Card Payment,Current,2025-04-19 21:49:37,OMV,-7.99,151.71
455,Card Payment,Current,2025-04-22 22:10:59,Mega Image,-6.29,145.42
456,Topup,Current,2025-04-23 11:57:48,Apple Pay top-up by *1781,150.0,295.42
457,Transfer,Current,2025-04-23 11:58:07,Revolut Bank UAB Vilnius Sucursala București,-160.0,135.42
458,Card Payment,Current,2025-04-22 20:50:29,Kfc,-14.0,121.42
459,Card Payment,Current,2025-04-24 17:08:17,Curcubeului Market,-23.0,98.42
460,Card Payment,Current,2025-04-24 19:03:24,Lidl,-2.29,96.13
461,Card Payment,Current,2025-04-25 16:58:17,Mobilitate urbana,-6.0,90.13
462,Card Payment,Current,2025-04-25 16:50:22,Bolt,-6.44,83.69
463,Card Payment,Current,2025-04-25 17:48:00,Mega Image,-14.99,68.7
464,Card Payment,Current,2025-04-25 16:47:58,Carrefour,-5.49,63.21
465,Topup,Current,2025-04-26 16:26:26,Apple Pay top-up by *1781,440.0,503.21
466,Transfer,Current,2025-04-26 16:26:42,Revolut Bank UAB Vilnius Sucursala București,-160.0,343.21
467,Rev Payment,Current,2025-04-27 17:54:00,amparcat.ro*Otopeni,-1.19,342.02
468,Card Payment,Current,2025-04-27 16:54:21,Amparcat.ro,-1.19,340.83
469,Card Payment,Current,2025-04-25 17:55:44,Farmacia Ana Maria,-21.25,319.58
470,Transfer,Current,2025-05-01 08:44:55,To moldovan maria,-100.0,219.58
471,Card Payment,Current,2025-05-01 14:17:56,Profi,-202.23,17.35
472,Transfer,Current,2025-05-02 20:28:32,Revolut Bank UAB Vilnius Sucursala București,25.0,42.35
473,Transfer,Current,2025-05-02 21:00:21,Revolut Bank UAB Vilnius Sucursala București,25.0,67.35
474,Card Payment,Current,2025-05-02 10:44:41,Lidl,-1.69,65.66
475,Transfer,Current,2025-05-04 15:13:39,Revolut Bank UAB Vilnius Sucursala București,25.0,90.66
476,Transfer,Current,2025-05-04 15:25:12,Revolut Bank UAB Vilnius Sucursala București,25.0,115.66
477,Topup,Current,2025-05-04 19:43:31,Apple Pay top-up by *1781,251.56,367.22
478,Card Payment,Current,2025-05-06 11:35:54,Mega Image,-4.79,362.43
479,Transfer,Current,2025-05-07 10:04:54,Revolut Bank UAB Vilnius Sucursala București,11.5,373.93
480,Card Payment,Current,2025-05-09 08:37:09,Froo,-28.48,345.45
481,Card Payment,Current,2025-05-09 07:07:59,Mega Image,-6.48,338.97
482,Topup,Current,2025-05-10 18:52:05,Apple Pay top-up by *1781,160.0,498.97
483,Transfer,Current,2025-05-10 18:52:25,Revolut Bank UAB Vilnius Sucursala București,-160.0,338.97
484,Card Payment,Current,2025-05-10 16:56:08,Curcubeului Market,-23.0,315.97
485,Transfer,Current,2025-05-11 21:27:08,Revolut Bank UAB Vilnius Sucursala București,25.0,340.97
486,Card Payment,Current,2025-05-11 20:30:47,Langa Pod,-70.0,270.97
487,Transfer,Current,2025-05-13 11:28:36,Revolut Bank UAB Vilnius Sucursala București,-23.0,247.97
488,Card Payment,Current,2025-05-12 12:21:53,Vending Zone,-10.0,237.97
489,Card Payment,Current,2025-05-13 08:43:05,Mega Image,-11.08,226.89
490,Card Payment,Current,2025-05-13 11:47:04,Youlan Circus,-13.0,213.89
491,Card Payment,Current,2025-05-14 08:16:22,Mega Image,-7.19,206.7
492,Card Payment,Current,2025-05-14 10:42:40,Youlan Circus,-13.0,193.7
493,Card Payment,Current,2025-05-14 12:40:01,CoffeeBox Retorica,-50.0,143.7
494,Transfer,Current,2025-05-15 14:59:18,Revolut Bank UAB Vilnius Sucursala București,-7.0,136.7
495,Card Payment,Current,2025-05-15 08:46:06,Mega Image,-4.79,131.91
496,Card Payment,Current,2025-05-15 14:55:55,Mega Image,-30.19,101.72
497,Card Payment,Current,2025-05-15 07:33:49,Profi,-4.25,97.47
498,Topup,Current,2025-05-16 20:22:04,Apple Pay top-up by *1781,160.0,257.47
499,Transfer,Current,2025-05-16 20:22:20,Revolut Bank UAB Vilnius Sucursala București,-160.0,97.47
500,Card Payment,Current,2025-05-15 08:52:56,Garage cafe,-14.0,83.47
501,Card Payment,Current,2025-05-16 21:35:54,Carrefour,-15.9,67.57
502,Rev Payment,Current,2025-05-17 17:43:51,amparcat.ro*Otopeni,-1.16,66.41
503,Rev Payment,Current,2025-05-17 18:46:18,amparcat.ro*Otopeni,-2.32,64.09
504,Transfer,Current,2025-05-18 21:08:40,Revolut Bank UAB Vilnius Sucursala București,-25.0,39.09
505,Card Payment,Current,2025-05-18 19:14:47,McDonald's,-9.0,30.09
506,Topup,Current,2025-05-19 13:22:08,Payment from CITIBANK EUROPE PLC-DUBLIN,173.0,203.09
507,Transfer,Current,2025-05-19 16:10:32,Revolut Bank UAB Vilnius Sucursala București,-20.0,183.09
508,Transfer,Current,2025-05-21 12:16:44,Revolut Bank UAB Vilnius Sucursala București,50.0,233.09
509,Transfer,Current,2025-05-21 12:16:54,Revolut Bank UAB Vilnius Sucursala București,50.0,283.09
510,Transfer,Current,2025-05-21 13:20:35,Revolut Bank UAB Vilnius Sucursala București,-60.0,223.09
511,Transfer,Current,2025-05-21 13:23:47,Revolut Bank UAB Vilnius Sucursala București,-56.0,167.09
512,Transfer,Current,2025-05-21 13:25:08,Revolut Bank UAB Vilnius Sucursala București,-60.0,107.09
513,Transfer,Current,2025-05-21 13:27:18,Revolut Bank UAB Vilnius Sucursala București,56.0,163.09
514,Card Payment,Current,2025-05-20 06:47:49,Profi,-27.25,135.84
515,Card Payment,Current,2025-05-20 11:57:18,Andalex Gastronomy,-30.0,105.84
516,Card Payment,Current,2025-05-21 14:22:57,Bolt,-5.22,100.62
517,Card Payment,Current,2025-05-21 10:05:31,Mega Image,-13.78,86.84
518,Card Payment,Current,2025-05-21 12:07:39,Mega Image,-29.45,57.39
519,Transfer,Current,2025-05-22 13:49:26,Revolut Bank UAB Vilnius Sucursala București,-2.0,55.39
520,Card Payment,Current,2025-05-23 07:18:28,Froo,-13.79,41.6
521,Card Payment,Current,2025-05-22 13:48:05,Mega Image,-23.0,18.6
522,Card Payment,Current,2025-05-22 09:55:27,Sky 24,-10.0,8.6
523,Topup,Current,2025-05-24 10:07:14,Apple Pay top-up by *1781,160.0,168.6
524,Transfer,Current,2025-05-24 10:07:38,Revolut Bank UAB Vilnius Sucursala București,-160.0,8.6
525,Transfer,Current,2025-05-26 09:37:55,Revolut Bank UAB Vilnius Sucursala București,8.0,16.6
526,Card Payment,Current,2025-05-26 09:40:38,Multimat Impex,-9.0,7.6
527,Transfer,Current,2025-05-31 14:33:47,Revolut Bank UAB Vilnius Sucursala București,500.0,507.6
528,Topup,Current,2025-05-31 15:16:23,Apple Pay top-up by *1781,185.0,692.6
529,Transfer,Current,2025-05-31 15:16:43,Revolut Bank UAB Vilnius Sucursala București,-160.0,532.6
530,Transfer,Current,2025-05-31 15:17:15,To Nicoleta Adriana Petre,-25.0,507.6
531,Transfer,Current,2025-06-02 20:09:10,To Razvan Mihai Pica,-500.0,7.6
532,Topup,Current,2025-06-03 11:37:06,Apple Pay top-up by *1781,160.0,167.6
533,Transfer,Current,2025-06-03 19:36:07,Revolut Bank UAB Vilnius Sucursala București,500.0,667.6
534,Card Payment,Current,2025-06-03 21:38:47,Spalatorie Auto Alexander,-6.66,660.94
535,Card Payment,Current,2025-06-03 21:03:56,ACCO Fashion,-79.0,581.94
536,Card Payment,Current,2025-06-03 20:51:49,CCC,-1.0,580.94
537,Transfer,Current,2025-06-04 10:24:47,Revolut Bank UAB Vilnius Sucursala București,-23.0,557.94
538,Transfer,Current,2025-06-04 10:28:19,To Razvan Mihai Pica,-300.0,257.94
539,Card Payment,Current,2025-06-04 07:50:20,Froo,-6.49,251.45
540,Transfer,Current,2025-06-04 15:25:31,Revolut Bank UAB Vilnius Sucursala București,-160.0,91.45
541,Card Payment,Current,2025-06-04 15:43:59,Mega Image,-9.28,82.17
542,Transfer,Current,2025-06-05 16:59:15,Revolut Bank UAB Vilnius Sucursala București,80.0,162.17
543,Card Payment,Current,2025-06-05 13:55:34,Mega Image,-67.53,94.64
544,Topup,Current,2025-06-06 18:01:18,Apple Pay top-up by *1781,1090.0,1184.64
545,Transfer,Current,2025-06-06 18:02:20,To investment account,-1003.12,181.52
546,Card Payment,Current,2025-06-08 16:43:28,Epic Games Store,-91.88,89.64
547,Card Payment,Current,2025-06-07 22:03:04,Spalatorie Auto Alexander,-6.66,82.98
548,Transfer,Current,2025-06-10 15:14:22,Revolut Bank UAB Vilnius Sucursala București,-14.0,68.98
549,Rev Payment,Current,2025-06-11 19:39:46,amparcat.ro*Otopeni,-4.64,64.34
550,Card Payment,Current,2025-06-11 11:58:57,Mega Image,-32.58,31.76
551,Card Payment,Current,2025-06-11 14:08:13,OMV,-8.49,23.27
552,Card Payment,Current,2025-06-11 07:30:40,Global GNF,-14.0,9.27
553,Transfer,Current,2025-06-13 13:35:48,Revolut Bank UAB Vilnius Sucursala București,50.0,59.27
554,Transfer,Current,2025-06-13 14:21:09,Revolut Bank UAB Vilnius Sucursala București,23.0,82.27
555,Topup,Current,2025-06-14 06:10:45,Apple Pay top-up by *1781,60.0,142.27
556,Transfer,Current,2025-06-14 06:11:05,Revolut Bank UAB Vilnius Sucursala București,-26.0,116.27
557,Card Payment,Current,2025-06-13 14:34:25,Mega Image,-46.0,70.27
558,Card Payment,Current,2025-06-13 07:13:13,Multimat Impex,-2.5,67.77
559,Card Payment,Current,2025-06-13 22:20:32,Profi,-30.5,37.27
560,Transfer,Current,2025-06-16 11:40:54,Revolut Bank UAB Vilnius Sucursala București,31.0,68.27
561,Transfer,Current,2025-06-16 21:35:48,Revolut Bank UAB Vilnius Sucursala București,-15.0,53.27
562,Card Payment,Current,2025-06-16 17:41:15,Amarket Magazin Mixt,-7.44,45.83
563,Card Payment,Current,2025-06-16 20:38:36,Gelateria Dolcissima,-13.0,32.83
564,Transfer,Current,2025-06-17 14:34:48,Revolut Bank UAB Vilnius Sucursala București,15.0,47.83
565,Transfer,Current,2025-06-17 14:35:23,Revolut Bank UAB Vilnius Sucursala București,-15.0,32.83
566,Transfer,Current,2025-06-17 14:36:02,Revolut Bank UAB Vilnius Sucursala București,25.0,57.83
567,Card Payment,Current,2025-06-17 18:09:14,CT BUS,-3.0,54.83
568,Card Payment,Current,2025-06-17 14:36:11,Lazy Beach,-50.0,4.83
569,Card Payment,Current,2025-06-19 21:33:28,Mobilitate urbana,-1.0,3.83
570,Topup,Current,2025-06-21 12:01:26,Apple Pay top-up by *1781,160.0,163.83
571,Transfer,Current,2025-06-21 12:01:59,Revolut Bank UAB Vilnius Sucursala București,-160.0,3.83
572,Topup,Current,2025-06-21 21:04:30,Apple Pay top-up by *1781,60.0,63.83
573,Transfer,Current,2025-06-21 21:09:06,Revolut Bank UAB Vilnius Sucursala București,-5.0,58.83
574,TEMP_BLOCK,Current,2025-06-21 21:09:34,To Victor,-4.0,
575,Transfer,Current,2025-06-21 21:23:24,Revolut Bank UAB Vilnius Sucursala București,-33.0,25.83
576,Transfer,Current,2025-06-22 22:34:15,Revolut Bank UAB Vilnius Sucursala București,30.0,55.83
577,Transfer,Current,2025-06-22 22:38:14,Revolut Bank UAB Vilnius Sucursala București,30.0,85.83
578,Transfer,Current,2025-06-23 14:56:29,Revolut Bank UAB Vilnius Sucursala București,-25.0,60.83
579,Card Payment,Current,2025-06-21 23:50:54,SUN PLAZA,-4.0,56.83
580,Transfer,Current,2025-06-24 16:00:41,Revolut Bank UAB Vilnius Sucursala București,-4.0,52.83
581,Topup,Current,2025-06-25 09:28:49,Apple Pay top-up by *1781,108.0,160.83
582,Transfer,Current,2025-06-25 09:29:06,Revolut Bank UAB Vilnius Sucursala București,-160.0,0.83
583,Transfer,Current,2025-06-26 21:04:12,Revolut Bank UAB Vilnius Sucursala București,25.0,25.83
584,Transfer,Current,2025-06-27 11:51:11,Revolut Bank UAB Vilnius Sucursala București,160.0,185.83
585,Transfer,Current,2025-06-27 11:52:46,To Nicoleta Adriana Petre,-155.0,30.83
586,Topup,Current,2025-06-29 10:13:01,Apple Pay top-up by *1781,160.0,190.83
587,Transfer,Current,2025-06-29 10:13:17,Revolut Bank UAB Vilnius Sucursala București,-160.0,30.83
588,Card Payment,Current,2025-07-01 12:48:07,Spalatorie Auto Alexander,-6.66,24.17
589,Card Payment,Current,2025-07-02 16:09:28,MOL,-8.39,15.78
590,Card Payment,Current,2025-07-02 14:15:27,Amparcat.ro,-5.95,9.83
591,Card Payment,Current,2025-07-03 12:00:18,MOL,-4.99,4.84
592,Card Payment,Current,2025-07-03 15:09:05,Amparcat.ro,-1.16,3.68
593,Topup,Current,2025-07-07 12:15:25,Apple Pay top-up by *1781,60.0,63.68
594,Card Payment,Current,2025-07-07 12:16:57,Superprof,-29.0,34.68
595,Transfer,Current,2025-07-09 14:58:24,Revolut Bank UAB Vilnius Sucursala București,-14.0,20.68
596,Transfer,Current,2025-07-10 14:52:52,Revolut Bank UAB Vilnius Sucursala București,100.0,120.68
597,Transfer,Current,2025-07-10 20:28:34,Revolut Bank UAB Vilnius Sucursala București,-6.5,114.18
598,Transfer,Current,2025-07-10 21:07:30,Revolut Bank UAB Vilnius Sucursala București,-26.0,88.18
599,Transfer,Current,2025-07-10 21:10:00,Revolut Bank UAB Vilnius Sucursala București,-4.0,84.18
600,Card Payment,Current,2025-07-10 15:10:49,Carlabi,-12.0,72.18
601,Card Payment,Current,2025-07-10 19:32:20,CoffeeBox Retorica,-39.0,33.18
602,Transfer,Current,2025-07-12 00:08:42,Revolut Bank UAB Vilnius Sucursala București,-30.0,3.18
603,Transfer,Current,2025-07-12 15:43:19,Revolut Bank UAB Vilnius Sucursala București,86.0,89.18
604,Transfer,Current,2025-07-13 17:21:40,Revolut Bank UAB Vilnius Sucursala București,36.0,125.18
605,Transfer,Current,2025-07-15 13:57:50,Revolut Bank UAB Vilnius Sucursala București,285.0,410.18
606,Topup,Current,2025-07-15 13:58:41,Apple Pay top-up by *1781,156.0,566.18
607,Card Payment,Current,2025-07-15 13:59:25,Booking.com,-565.14,1.04
608,Topup,Current,2025-07-15 20:42:51,Apple Pay top-up by *1781,60.0,61.04
609,Transfer,Current,2025-07-15 20:43:12,Revolut Bank UAB Vilnius Sucursala București,-24.0,37.04
610,Card Payment,Current,2025-07-15 21:38:30,Betty ice,-12.5,24.54
611,Card Payment,Current,2025-07-15 23:10:15,Kfc,-23.5,1.04
612,Topup,Current,2025-07-17 16:39:10,Apple Pay top-up by *1781,60.0,61.04
613,Transfer,Current,2025-07-17 16:39:31,Revolut Bank UAB Vilnius Sucursala București,-60.0,1.04
614,Transfer,Current,2025-07-17 16:41:45,Revolut Bank UAB Vilnius Sucursala București,60.0,61.04
615,Topup,Current,2025-07-17 18:16:17,Apple Pay top-up by *1781,120.0,181.04
616,Transfer,Current,2025-07-17 18:16:41,Revolut Bank UAB Vilnius Sucursala București,-180.0,1.04
617,Card Refund,Current,2025-07-17 03:00:00,Booking.com,565.14,566.18
618,Transfer,Current,2025-07-18 12:55:17,Revolut Bank UAB Vilnius Sucursala București,-285.0,281.18
619,Transfer,Current,2025-07-18 12:55:35,Revolut Bank UAB Vilnius Sucursala București,-13.0,268.18
620,Transfer,Current,2025-07-18 18:53:28,Revolut Bank UAB Vilnius Sucursala București,-11.0,257.18
621,Card Payment,Current,2025-07-18 13:05:37,Bibi Market,-24.0,233.18
622,Transfer,Current,2025-07-19 17:54:23,Revolut Bank UAB Vilnius Sucursala București,-35.0,198.18
623,Transfer,Current,2025-07-19 17:54:40,Revolut Bank UAB Vilnius Sucursala București,-25.0,173.18
624,Card Payment,Current,2025-07-19 21:50:11,Bio By,-43.5,129.68
625,Card Payment,Current,2025-07-19 20:12:11,La Clatite,-13.0,116.68
626,Card Payment,Current,2025-07-19 02:05:48,Vant de vama,-4.0,112.68
627,Card Payment,Current,2025-07-19 01:43:58,Vant de vama,-4.0,108.68
628,Card Payment,Current,2025-07-19 18:02:49,HaVama,-45.0,63.68
629,Transfer,Current,2025-07-20 15:57:27,Revolut Bank UAB Vilnius Sucursala București,26.0,89.68
630,Transfer,Current,2025-07-20 20:40:10,Revolut Bank UAB Vilnius Sucursala București,80.0,169.68
631,Card Payment,Current,2025-07-20 13:17:49,Camden Market,-8.0,161.68
632,Card Payment,Current,2025-07-20 01:36:53,Vant de vama,-24.0,137.68
633,Card Payment,Current,2025-07-20 13:16:31,Daripan Vama Veche,-12.86,124.82
634,Card Payment,Current,2025-07-20 03:47:10,Vant de vama,-4.0,120.82
635,Card Payment,Current,2025-07-20 19:49:41,RomPetrol,-18.9,101.92
636,Card Payment,Current,2025-07-21 23:15:57,MOL,-24.0,77.92
637,Topup,Current,2025-07-22 14:28:49,Apple Pay top-up by *1781,300.0,377.92
638,Transfer,Current,2025-07-22 14:29:11,Revolut Bank UAB Vilnius Sucursala București,-5.0,372.92
639,Transfer,Current,2025-07-22 14:30:52,Revolut Bank UAB Vilnius Sucursala București,-295.0,77.92
640,Transfer,Current,2025-07-23 12:26:16,Revolut Bank UAB Vilnius Sucursala București,100.0,177.92
641,Card Payment,Current,2025-07-22 18:43:00,Simco Schwartz,-4.5,173.42
642,Card Payment,Current,2025-07-22 17:44:13,LUKOIL,-8.49,164.93
643,Transfer,Current,2025-07-23 20:02:30,Revolut Bank UAB Vilnius Sucursala București,27.0,191.93
644,Transfer,Current,2025-07-23 20:08:20,Revolut Bank UAB Vilnius Sucursala București,-27.0,164.93
645,Transfer,Current,2025-07-23 20:11:43,Revolut Bank UAB Vilnius Sucursala București,24.0,188.93
646,Transfer,Current,2025-07-23 20:19:32,Revolut Bank UAB Vilnius Sucursala București,-58.0,130.93
647,Transfer,Current,2025-07-23 21:24:17,Revolut Bank UAB Vilnius Sucursala București,-24.0,106.93
648,Transfer,Current,2025-07-23 22:58:45,Revolut Bank UAB Vilnius Sucursala București,-18.0,88.93
